lig-ID,premin-score-POSIT,docking-score-POSIT,Vina-score-premin,Vina-score-min,gnina-RMSD,gnina-dock-Affinity,gnina-Affinity-var,CNN_dock_score,CNN_dock_affinity,CNNvariance
ASAP-0028906,0.0,-11.49332332611084,-9.175,-9.264,0.32288,-9.2993,-2.24954,0.73012,-7.4008,0.16341
ASAP-0028907,0.0,-12.07026195526123,-9.35,-9.374,0.4057,-9.49734,-2.35547,0.76809,-7.54818,0.1025
ASAP-0016545,0.0,-12.48146915435791,-9.13,-9.185,0.468,-9.34901,-2.41797,0.86712,-7.7264,0.14461
ASAP-0015910,0.0,-12.014402389526367,-9.33,-9.823,0.36499,-9.9717,-2.07708,0.81267,-7.59461,0.11572
ASAP-0017386,0.0,-13.709603309631348,-9.445,-9.602,0.39138,-9.68312,-1.41631,0.9583,-7.13066,0.16718
ASAP-0008408,0.0,-12.25073528289795,-7.36,-7.494,0.53091,-8.02771,-1.49269,0.92261,-6.61494,0.02968
ASAP-0011041,0.0,-15.359594345092772,-8.537,-8.678,0.47668,-9.85556,-0.26844,0.97913,-7.7381,0.01714
ASAP-0013892,0.0,-12.380568504333496,-9.456,-9.776,0.47946,-9.97036,-1.67276,0.91402,-7.77728,0.20077
ASAP-0010753,0.0,-8.270709991455078,-6.862,-7.38,0.50186,-7.89061,-1.118,0.65002,-6.18224,0.17564
ASAP-0000226,0.0,-9.685513496398926,-8.474,-8.942,1.22187,-9.32559,-1.88252,0.24188,-6.53271,0.63507
ASAP-0017448,0.0,-13.9165678024292,-9.399,-9.688,0.37208,-9.83932,-1.83162,0.89917,-7.55649,0.11127
ASAP-0015294,0.0,-14.364434242248535,-9.156,-9.493,0.4721,-9.54095,-1.89222,0.89821,-7.67677,0.10543
ASAP-0008606,0.0,-14.398968696594238,-7.094,-7.204,0.61076,-7.67697,-1.13882,0.90597,-6.5368,0.04398
ASAP-0029386,0.0,-11.567977905273438,-9.772,-9.809,0.48452,-10.04784,-2.3845,0.70842,-7.24351,0.22736
ASAP-0027844,0.0,-13.554723739624023,-9.374,-9.492,0.43923,-9.87153,-1.4157,0.91291,-7.55764,0.05009
ASAP-0028944,0.0,-11.91480827331543,-8.911,-9.415,0.51514,-9.60907,-2.29054,0.89639,-7.69768,0.08293
ASAP-0017445,0.0,-12.33297348022461,-9.346,-9.437,0.37619,-9.68216,-2.04139,0.86954,-7.61056,0.08331
ASAP-0021226,0.0,-9.734124183654783,-9.287,-9.879,0.59099,-10.18684,-2.30133,0.89595,-7.86638,0.16006
ASAP-0011430,0.0,-13.700193405151367,-9.443,-9.451,0.32915,-9.68543,-1.5985,0.96756,-7.4455,0.08771
ASAP-0008669,0.0,-11.16650390625,-8.084,-8.532,0.39573,-8.82602,-1.12396,0.96376,-6.68841,0.08224
ASAP-0000173,0.0,-16.020263671875,-8.585,-8.734,0.44234,-9.3645,-1.47322,0.98228,-7.56766,0.03343
ASAP-0015227,0.0,-13.958451271057127,-9.584,-9.58,0.54212,-9.87326,-1.7788,0.92901,-7.80648,0.16603
ASAP-0028950,0.0,-12.932252883911133,-9.583,-9.681,0.27657,-9.82395,-2.06596,0.85323,-7.76508,0.15534
ASAP-0014959,0.0,-13.266380310058594,-9.399,-9.63,0.44717,-9.99718,-1.58795,0.92841,-7.49183,0.11045
ASAP-0027871,0.0,-11.91254997253418,-9.251,-9.403,0.46186,-9.63032,-2.10979,0.94205,-7.57439,0.09977
ASAP-0015105,0.0,-10.600732803344728,-9.123,-9.136,1.07333,-9.97391,-2.11069,0.92481,-7.76881,0.28568
ASAP-0027678,0.0,-11.699015617370604,-8.872,-8.998,0.42833,-9.34031,-2.33708,0.78403,-7.53665,0.13455
ASAP-0008629,0.0,-13.123802185058594,-6.089,-6.089,0.62058,-9.12772,-0.71786,0.94839,-6.65232,0.02509
ASAP-0014553,0.0,-13.09739589691162,-9.833,-10.166,0.44649,-10.31766,-1.31557,0.90955,-7.20501,0.0805
ASAP-0017328,0.0,-12.34383487701416,-9.213,-9.259,0.3917,-9.38349,-2.28859,0.96334,-7.91268,0.05454
ASAP-0000492,0.0,-5.816662311553955,-4.622,-5.016,0.40924,-5.08394,-0.51098,0.77391,-5.19064,0.19068
ASAP-0011202,0.0,-13.545658111572266,-7.939,-8.037,0.73333,-8.90346,-0.93426,0.97522,-7.33029,0.06906
ASAP-0015099,0.0,-14.174545288085938,-9.463,-9.716,0.48689,-9.90739,-2.01547,0.94462,-7.97477,0.06474
ASAP-0014764,0.0,-14.548416137695312,-10.297,-10.31,0.30148,-10.51126,-1.39146,0.97367,-7.20926,0.11292
